grid_id,latitude,longitude
3_103,53.39372,-6.37853
3_104,53.394618,-6.378475
3_105,53.395516,-6.37842
3_106,53.396414,-6.378364
3_107,53.397312,-6.378309
3_108,53.39821,-6.378254
3_109,53.399108,-6.378199
3_110,53.400005,-6.378144
3_111,53.400903,-6.378088
3_112,53.401801,-6.378033
3_113,53.402699,-6.377978
3_114,53.403597,-6.377923
3_115,53.404495,-6.377867
3_116,53.405393,-6.377812
3_117,53.406291,-6.377757
3_118,53.407189,-6.377702
3_119,53.408087,-6.377646
3_120,53.408985,-6.377591
3_121,53.409883,-6.377536
3_122,53.410781,-6.377481
3_123,53.411679,-6.377425
3_124,53.412577,-6.37737
3_125,53.413475,-6.377315
3_126,53.414372,-6.377259
4_0,53.301198,-6.382702
4_1,53.302096,-6.382647
4_2,53.302994,-6.382592
4_3,53.303892,-6.382538
4_4,53.30479,-6.382483
4_5,53.305688,-6.382428
4_6,53.306586,-6.382373
4_7,53.307484,-6.382318
4_8,53.308382,-6.382263
4_9,53.30928,-6.382208
4_10,53.310178,-6.382153
4_11,53.311076,-6.382098
4_12,53.311974,-6.382043
4_13,53.312871,-6.381988
4_14,53.313769,-6.381933
4_15,53.314667,-6.381878
4_16,53.315565,-6.381823
4_17,53.316463,-6.381768
4_18,53.317361,-6.381713
4_19,53.318259,-6.381658
4_20,53.319157,-6.381603
4_21,53.320055,-6.381548
4_22,53.320953,-6.381493
4_23,53.321851,-6.381438
4_24,53.322749,-6.381383
4_25,53.323647,-6.381328
4_26,53.324545,-6.381273
4_27,53.325443,-6.381218
4_28,53.326341,-6.381163
4_29,53.327239,-6.381108
4_30,53.328137,-6.381053
4_31,53.329035,-6.380998
4_32,53.329933,-6.380943
4_33,53.330831,-6.380888
4_34,53.331729,-6.380833
4_35,53.332626,-6.380778
4_36,53.333524,-6.380723
4_37,53.334422,-6.380668
4_38,53.33532,-6.380613
4_39,53.336218,-6.380557
4_40,53.337116,-6.380502
4_41,53.338014,-6.380447
4_42,53.338912,-6.380392
4_43,53.33981,-6.380337
4_44,53.340708,-6.380282
4_45,53.341606,-6.380227
4_46,53.342504,-6.380172
4_47,53.343402,-6.380117
4_48,53.3443,-6.380062
4_49,53.345198,-6.380007
4_50,53.346096,-6.379952
4_51,53.346994,-6.379897
4_52,53.347892,-6.379842
4_53,53.34879,-6.379786
4_54,53.349688,-6.379731
4_55,53.350585,-6.379676
4_56,53.351483,-6.379621
4_57,53.352381,-6.379566
4_58,53.353279,-6.379511
4_59,53.354177,-6.379456
4_60,53.355075,-6.379401
4_61,53.355973,-6.379346
4_62,53.356871,-6.37929
4_63,53.357769,-6.379235
4_64,53.358667,-6.37918
4_65,53.359565,-6.379125
4_66,53.360463,-6.37907
4_67,53.361361,-6.379015
4_68,53.362259,-6.37896
4_69,53.363157,-6.378904
4_70,53.364055,-6.378849
4_71,53.364953,-6.378794
4_72,53.365851,-6.378739
4_73,53.366749,-6.378684
4_74,53.367646,-6.378629
4_75,53.368544,-6.378574
4_76,53.369442,-6.378518
4_77,53.37034,-6.378463
4_78,53.371238,-6.378408
4_79,53.372136,-6.378353
4_80,53.373034,-6.378298
4_81,53.373932,-6.378243
4_82,53.37483,-6.378187
4_83,53.375728,-6.378132
4_84,53.376626,-6.378077
4_85,53.377524,-6.378022
4_86,53.378422,-6.377967
4_87,53.37932,-6.377911
4_88,53.380218,-6.377856
4_89,53.381116,-6.377801
4_90,53.382014,-6.377746
4_91,53.382912,-6.377691
4_92,53.383809,-6.377635
4_93,53.384707,-6.37758
4_94,53.385605,-6.377525
4_95,53.386503,-6.37747
4_96,53.387401,-6.377415
4_97,53.388299,-6.377359
4_98,53.389197,-6.377304
4_99,53.390095,-6.377249
4_100,53.390993,-6.377194
4_101,53.391891,-6.377138
4_102,53.392789,-6.377083
4_103,53.393687,-6.377028
4_104,53.394585,-6.376973
4_105,53.395483,-6.376917
4_106,53.396381,-6.376862
4_107,53.397279,-6.376807
4_108,53.398177,-6.376752
4_109,53.399074,-6.376696
4_110,53.399972,-6.376641
4_111,53.40087,-6.376586
4_112,53.401768,-6.376531
4_113,53.402666,-6.376475
4_114,53.403564,-6.37642
4_115,53.404462,-6.376365
4_116,53.40536,-6.376309
4_117,53.406258,-6.376254
4_118,53.407156,-6.376199
4_119,53.408054,-6.376144
4_120,53.408952,-6.376088
4_121,53.40985,-6.376033
4_122,53.410748,-6.375978
4_123,53.411646,-6.375922
4_124,53.412544,-6.375867
4_125,53.413442,-6.375812
4_126,53.414339,-6.375756
5_0,53.301165,-6.381203
5_1,53.302063,-6.381148
5_2,53.302961,-6.381093
5_3,53.303859,-6.381038
5_4,53.304757,-6.380983
5_5,53.305655,-6.380929
5_6,53.306553,-6.380874
5_7,53.307451,-6.380819
5_8,53.308349,-6.380764
5_9,53.309247,-6.380709
5_10,53.310145,-6.380654
5_11,53.311043,-6.380599
5_12,53.311941,-6.380544
5_13,53.312839,-6.380489
5_14,53.313736,-6.380434
5_15,53.314634,-6.380378
5_16,53.315532,-6.380323
5_17,53.31643,-6.380268
5_18,53.317328,-6.380213
5_19,53.318226,-6.380158
5_20,53.319124,-6.380103
5_21,53.320022,-6.380048
5_22,53.32092,-6.379993
5_23,53.321818,-6.379938
5_24,53.322716,-6.379883
5_25,53.323614,-6.379828
5_26,53.324512,-6.379773
5_27,53.32541,-6.379718
5_28,53.326308,-6.379663
5_29,53.327206,-6.379608
5_30,53.328104,-6.379553
5_31,53.329002,-6.379498
5_32,53.3299,-6.379443
5_33,53.330798,-6.379388
5_34,53.331696,-6.379333
5_35,53.332594,-6.379278
5_36,53.333491,-6.379223
5_37,53.334389,-6.379167
5_38,53.335287,-6.379112
5_39,53.336185,-6.379057
5_40,53.337083,-6.379002
5_41,53.337981,-6.378947
5_42,53.338879,-6.378892
5_43,53.339777,-6.378837
5_44,53.340675,-6.378782
5_45,53.341573,-6.378727
5_46,53.342471,-6.378672
5_47,53.343369,-6.378616
5_48,53.344267,-6.378561
